Age,Gender,Department,JobRole,MonthlyIncome,OverTime,YearsAtCompany,MaritalStatus,Attrition,AttritionRiskScore,RiskCategory
46,Male,Sales,Sales Executive,5772,Yes,9,Single,No,50.0,MEDIUM RISK
35,Male,Research & Development,Laboratory Technician,2269,No,1,Married,No,50.0,MEDIUM RISK
48,Male,Research & Development,Laboratory Technician,5381,Yes,1,Single,Yes,51.0,MEDIUM RISK
28,Male,Research & Development,Laboratory Technician,3441,Yes,2,Single,Yes,49.5,MEDIUM RISK
44,Female,Sales,Sales Executive,5454,Yes,4,Divorced,No,56.5,MEDIUM RISK
35,Male,Research & Development,Healthcare Representative,9884,Yes,4,Married,No,55.0,MEDIUM RISK
26,Female,Sales,Sales Executive,4157,Yes,2,Married,No,51.5,MEDIUM RISK
33,Female,Research & Development,Research Director,13458,Yes,15,Single,No,53.5,MEDIUM RISK
35,Male,Sales,Sales Executive,9069,No,9,Married,No,54.5,MEDIUM RISK
35,Female,Research & Development,Laboratory Technician,4014,Yes,2,Married,No,56.5,MEDIUM RISK
31,Male,Research & Development,Laboratory Technician,5915,No,7,Divorced,No,48.5,MEDIUM RISK
37,Male,Research & Development,Manufacturing Director,5993,No,7,Divorced,No,49.5,MEDIUM RISK
32,Male,Research & Development,Manufacturing Director,6162,Yes,9,Married,No,49.5,MEDIUM RISK
38,Female,Research & Development,Laboratory Technician,2406,No,10,Single,No,51.5,MEDIUM RISK
50,Female,Research & Development,Research Director,18740,Yes,27,Divorced,No,52.0,MEDIUM RISK
59,Female,Sales,Sales Executive,7637,No,21,Single,No,55.5,MEDIUM RISK
36,Female,Research & Development,Healthcare Representative,10096,No,17,Divorced,No,50.5,MEDIUM RISK
55,Female,Research & Development,Manager,14756,Yes,5,Divorced,No,49.5,MEDIUM RISK
36,Male,Research & Development,Manufacturing Director,6499,No,6,Single,No,48.5,MEDIUM RISK
45,Male,Research & Development,Research Scientist,9724,No,1,Divorced,No,57.5,MEDIUM RISK
35,Male,Research & Development,Research Scientist,2194,No,3,Married,No,56.0,MEDIUM RISK
36,Male,Research & Development,Research Scientist,3388,Yes,1,Married,Yes,50.5,MEDIUM RISK
59,Female,Sales,Sales Executive,5473,No,4,Single,No,53.0,MEDIUM RISK
29,Male,Research & Development,Research Scientist,2703,No,5,Married,No,46.0,MEDIUM RISK
31,Male,Research & Development,Research Scientist,2501,No,1,Single,No,54.5,MEDIUM RISK
32,Male,Research & Development,Research Scientist,6220,No,10,Married,No,47.0,MEDIUM RISK
36,Female,Research & Development,Laboratory Technician,3038,No,1,Married,No,52.5,MEDIUM RISK
31,Female,Research & Development,Manufacturing Director,4424,No,11,Single,No,51.5,MEDIUM RISK
35,Male,Sales,Sales Executive,4312,No,15,Single,No,55.5,MEDIUM RISK
45,Male,Research & Development,Research Director,13245,Yes,0,Married,No,56.5,MEDIUM RISK
37,Male,Research & Development,Research Director,13664,No,5,Single,No,51.0,MEDIUM RISK
46,Male,Human Resources,Human Resources,5021,Yes,4,Divorced,No,47.5,MEDIUM RISK
30,Male,Research & Development,Laboratory Technician,5126,Yes,10,Married,No,49.5,MEDIUM RISK
35,Male,Research & Development,Research Scientist,2859,No,6,Single,No,51.5,MEDIUM RISK
55,Male,Sales,Sales Executive,10239,No,1,Married,No,50.5,MEDIUM RISK
38,Female,Research & Development,Research Scientist,5329,Yes,13,Divorced,No,50.0,MEDIUM RISK
34,Male,Research & Development,Manufacturing Director,4325,No,5,Married,No,51.5,MEDIUM RISK
56,Male,Research & Development,Manufacturing Director,7260,No,6,Single,No,51.5,MEDIUM RISK
23,Male,Sales,Sales Representative,2322,No,0,Divorced,No,58.5,MEDIUM RISK
51,Male,Research & Development,Laboratory Technician,2075,No,4,Married,No,46.5,MEDIUM RISK
30,Male,Research & Development,Healthcare Representative,4152,No,11,Married,No,48.0,MEDIUM RISK
46,Male,Sales,Sales Executive,9619,No,9,Single,Yes,50.5,MEDIUM RISK
40,Male,Research & Development,Healthcare Representative,13503,No,22,Married,No,49.0,MEDIUM RISK
51,Male,Sales,Sales Executive,5441,Yes,10,Single,No,50.0,MEDIUM RISK
30,Female,Sales,Sales Executive,5209,Yes,11,Divorced,No,49.5,MEDIUM RISK
46,Male,Research & Development,Healthcare Representative,10673,Yes,10,Married,No,54.0,MEDIUM RISK
32,Male,Sales,Sales Executive,5010,No,11,Single,No,54.0,MEDIUM RISK
54,Female,Research & Development,Research Director,13549,No,4,Married,No,49.5,MEDIUM RISK
24,Female,Sales,Sales Executive,4999,No,3,Married,No,50.0,MEDIUM RISK
28,Male,Sales,Sales Executive,4221,No,5,Married,No,48.0,MEDIUM RISK
58,Male,Sales,Sales Executive,13872,No,37,Single,No,49.5,MEDIUM RISK
44,Male,Research & Development,Laboratory Technician,2042,No,3,Married,No,48.0,MEDIUM RISK
37,Male,Human Resources,Human Resources,2073,Yes,3,Divorced,Yes,56.0,MEDIUM RISK
32,Male,Research & Development,Research Scientist,2956,No,1,Single,No,62.0,HIGH RISK
20,Female,Research & Development,Laboratory Technician,2926,Yes,1,Single,Yes,53.0,MEDIUM RISK
34,Female,Research & Development,Research Scientist,4809,No,16,Single,No,51.5,MEDIUM RISK
37,Male,Research & Development,Healthcare Representative,5163,No,1,Divorced,No,49.0,MEDIUM RISK
59,Female,Human Resources,Manager,18844,No,3,Married,No,50.5,MEDIUM RISK
50,Female,Research & Development,Research Director,18172,Yes,8,Married,No,53.0,MEDIUM RISK
25,Male,Sales,Sales Executive,5744,Yes,6,Single,Yes,49.0,MEDIUM RISK
25,Male,Research & Development,Research Scientist,2889,No,2,Married,No,46.5,MEDIUM RISK
22,Female,Research & Development,Laboratory Technician,2871,No,0,Single,No,51.0,MEDIUM RISK
51,Female,Research & Development,Healthcare Representative,7484,No,13,Single,No,57.5,MEDIUM RISK
34,Male,Research & Development,Laboratory Technician,6074,Yes,9,Single,Yes,48.5,MEDIUM RISK
54,Female,Human Resources,Manager,17328,Yes,5,Single,No,53.5,MEDIUM RISK
24,Male,Research & Development,Laboratory Technician,2774,No,5,Married,No,47.5,MEDIUM RISK
34,Female,Research & Development,Research Scientist,4505,No,1,Divorced,No,50.5,MEDIUM RISK
37,Male,Sales,Sales Executive,7428,No,5,Single,No,53.5,MEDIUM RISK
34,Female,Research & Development,Manager,11631,No,11,Single,No,57.0,MEDIUM RISK
36,Female,Sales,Sales Executive,9738,No,9,Married,No,49.5,MEDIUM RISK
36,Female,Research & Development,Laboratory Technician,2835,No,1,Divorced,No,53.5,MEDIUM RISK
43,Male,Sales,Manager,16959,Yes,25,Married,No,47.5,MEDIUM RISK
30,Male,Research & Development,Research Scientist,2613,No,10,Divorced,No,48.0,MEDIUM RISK
33,Male,Sales,Sales Executive,6146,No,7,Married,No,47.5,MEDIUM RISK
56,Female,Research & Development,Research Scientist,4963,Yes,5,Married,Yes,50.5,MEDIUM RISK
51,Male,Research & Development,Research Director,19537,No,20,Single,No,51.0,MEDIUM RISK
31,Male,Sales,Sales Executive,6172,Yes,7,Married,Yes,52.0,MEDIUM RISK
26,Female,Research & Development,Research Scientist,2368,No,5,Married,No,51.5,MEDIUM RISK
58,Female,Research & Development,Healthcare Representative,10312,No,40,Married,Yes,51.0,MEDIUM RISK
19,Male,Sales,Sales Representative,1675,Yes,0,Single,Yes,53.0,MEDIUM RISK
22,Male,Research & Development,Laboratory Technician,2523,No,2,Married,No,48.0,MEDIUM RISK
49,Female,Research & Development,Manufacturing Director,6567,No,15,Married,No,57.0,MEDIUM RISK
43,Female,Research & Development,Research Scientist,4739,No,3,Single,No,53.0,MEDIUM RISK
50,Female,Sales,Sales Executive,9208,No,2,Single,No,52.5,MEDIUM RISK
31,Female,Sales,Sales Executive,4559,Yes,2,Married,Yes,51.0,MEDIUM RISK
41,Male,Sales,Sales Executive,8189,Yes,9,Divorced,No,48.5,MEDIUM RISK
26,Female,Human Resources,Human Resources,2942,No,8,Married,No,51.0,MEDIUM RISK
36,Male,Research & Development,Manufacturing Director,4941,No,3,Divorced,No,51.5,MEDIUM RISK
51,Male,Research & Development,Manufacturing Director,10650,No,4,Single,Yes,49.5,MEDIUM RISK
39,Female,Sales,Sales Executive,5902,No,15,Married,No,51.5,MEDIUM RISK
25,Male,Sales,Sales Executive,8639,No,2,Married,No,51.5,MEDIUM RISK
30,Male,Human Resources,Human Resources,6347,Yes,11,Married,No,49.5,MEDIUM RISK
32,Female,Research & Development,Laboratory Technician,4200,No,5,Single,Yes,60.0,HIGH RISK
45,Male,Research & Development,Research Scientist,3452,No,6,Single,No,51.0,MEDIUM RISK
38,Female,Research & Development,Research Scientist,4317,Yes,3,Single,No,52.5,MEDIUM RISK
30,Female,Research & Development,Research Scientist,2632,No,5,Single,No,49.5,MEDIUM RISK
32,Male,Sales,Sales Executive,4668,No,8,Divorced,No,45.5,MEDIUM RISK
30,Female,Research & Development,Research Scientist,3204,No,3,Divorced,No,56.5,MEDIUM RISK
30,Male,Research & Development,Laboratory Technician,2720,No,5,Single,No,48.5,MEDIUM RISK
41,Male,Research & Development,Manager,17181,No,7,Divorced,No,53.5,MEDIUM RISK
41,Male,Research & Development,Laboratory Technician,2238,No,5,Married,No,57.5,MEDIUM RISK
19,Female,Research & Development,Laboratory Technician,1483,No,1,Single,No,51.0,MEDIUM RISK
40,Female,Research & Development,Research Scientist,5605,No,20,Divorced,No,51.0,MEDIUM RISK
35,Male,Sales,Sales Executive,7295,No,10,Married,No,47.5,MEDIUM RISK
53,Male,Sales,Sales Representative,2306,Yes,7,Married,No,49.5,MEDIUM RISK
45,Male,Research & Development,Laboratory Technician,2348,No,17,Divorced,No,48.0,MEDIUM RISK
32,Female,Sales,Sales Executive,8998,No,9,Single,No,52.0,MEDIUM RISK
29,Male,Research & Development,Manufacturing Director,4319,No,10,Married,No,49.0,MEDIUM RISK
51,Male,Research & Development,Manufacturing Director,6132,No,1,Married,No,50.5,MEDIUM RISK
58,Female,Research & Development,Research Scientist,3346,Yes,1,Married,No,52.5,MEDIUM RISK
40,Male,Sales,Sales Executive,10855,No,12,Married,No,49.5,MEDIUM RISK
34,Female,Sales,Sales Representative,2231,No,4,Married,No,50.5,MEDIUM RISK
22,Male,Research & Development,Research Scientist,2323,No,2,Married,No,47.5,MEDIUM RISK
27,Male,Research & Development,Research Scientist,2024,No,2,Divorced,No,50.0,MEDIUM RISK
28,Male,Research & Development,Research Scientist,2713,No,5,Married,No,48.0,MEDIUM RISK
57,Male,Research & Development,Healthcare Representative,9439,Yes,5,Divorced,No,49.0,MEDIUM RISK
27,Male,Research & Development,Research Scientist,2566,Yes,1,Divorced,No,50.0,MEDIUM RISK
50,Female,Research & Development,Manager,19926,No,5,Single,No,52.5,MEDIUM RISK
41,Male,Research & Development,Research Scientist,2451,No,9,Divorced,No,51.5,MEDIUM RISK
30,Female,Sales,Sales Executive,9419,No,10,Married,No,52.0,MEDIUM RISK
38,Female,Sales,Sales Executive,8686,No,8,Single,No,52.0,MEDIUM RISK
32,Male,Research & Development,Research Scientist,3038,No,5,Single,No,54.5,MEDIUM RISK
27,Male,Research & Development,Research Scientist,3058,Yes,5,Married,No,47.5,MEDIUM RISK
19,Female,Sales,Sales Representative,2325,No,0,Single,Yes,62.0,HIGH RISK
36,Male,Research & Development,Laboratory Technician,2088,No,8,Single,No,52.5,MEDIUM RISK
30,Male,Research & Development,Laboratory Technician,3072,No,12,Divorced,No,53.5,MEDIUM RISK
45,Female,Sales,Sales Executive,5006,Yes,5,Divorced,No,55.0,MEDIUM RISK
56,Female,Research & Development,Research Scientist,4257,Yes,2,Divorced,No,56.5,MEDIUM RISK
33,Male,Research & Development,Research Scientist,2500,No,3,Single,No,52.0,MEDIUM RISK
19,Male,Research & Development,Laboratory Technician,1102,No,1,Single,Yes,52.0,MEDIUM RISK
46,Female,Sales,Sales Executive,10453,No,24,Divorced,No,56.5,MEDIUM RISK
38,Female,Research & Development,Laboratory Technician,2288,No,2,Single,No,50.5,MEDIUM RISK
31,Female,Research & Development,Research Scientist,3929,Yes,4,Married,No,53.5,MEDIUM RISK
34,Female,Research & Development,Research Scientist,2311,No,3,Single,No,53.0,MEDIUM RISK
41,Female,Sales,Sales Representative,3140,Yes,4,Single,Yes,48.0,MEDIUM RISK
50,Male,Research & Development,Laboratory Technician,3690,No,3,Married,No,50.5,MEDIUM RISK
53,Female,Research & Development,Manufacturing Director,4450,No,4,Divorced,No,55.0,MEDIUM RISK
33,Female,Research & Development,Research Scientist,2756,No,8,Married,No,51.0,MEDIUM RISK
40,Female,Research & Development,Manager,19033,No,20,Married,No,51.5,MEDIUM RISK
55,Male,Research & Development,Research Director,18722,No,24,Single,No,51.5,MEDIUM RISK
34,Male,Research & Development,Manufacturing Director,9547,No,10,Married,No,50.5,MEDIUM RISK
51,Female,Research & Development,Healthcare Representative,13734,No,7,Single,No,53.0,MEDIUM RISK
52,Male,Research & Development,Manager,19999,No,33,Married,No,47.0,MEDIUM RISK
27,Female,Research & Development,Research Scientist,2279,No,7,Single,No,50.0,MEDIUM RISK
35,Male,Research & Development,Manufacturing Director,5916,Yes,1,Married,Yes,50.5,MEDIUM RISK
43,Male,Research & Development,Research Scientist,2089,No,5,Divorced,No,48.0,MEDIUM RISK
45,Male,Research & Development,Manager,16792,No,20,Married,No,49.5,MEDIUM RISK
37,Male,Research & Development,Research Scientist,3564,Yes,8,Married,No,55.5,MEDIUM RISK
35,Female,Research & Development,Laboratory Technician,4425,No,6,Single,No,51.5,MEDIUM RISK
42,Female,Research & Development,Manufacturing Director,5265,No,5,Divorced,No,49.5,MEDIUM RISK
38,Male,Research & Development,Manufacturing Director,6553,No,1,Married,No,50.0,MEDIUM RISK
38,Male,Research & Development,Manufacturing Director,6261,No,7,Married,No,49.0,MEDIUM RISK
27,Male,Research & Development,Manufacturing Director,4298,No,2,Married,No,57.0,MEDIUM RISK
49,Male,Research & Development,Manufacturing Director,6804,Yes,7,Divorced,No,49.5,MEDIUM RISK
34,Male,Research & Development,Research Scientist,3815,Yes,5,Divorced,No,49.5,MEDIUM RISK
40,Male,Research & Development,Laboratory Technician,2741,Yes,7,Married,No,49.5,MEDIUM RISK
38,Male,Research & Development,Healthcare Representative,6673,Yes,1,Married,Yes,58.5,MEDIUM RISK
29,Female,Sales,Sales Executive,7639,No,10,Married,Yes,50.0,MEDIUM RISK
22,Male,Research & Development,Research Scientist,2328,Yes,4,Divorced,No,48.0,MEDIUM RISK
36,Female,Research & Development,Laboratory Technician,2153,No,8,Single,No,55.5,MEDIUM RISK
40,Male,Research & Development,Healthcare Representative,4876,No,3,Married,No,47.5,MEDIUM RISK
46,Male,Research & Development,Healthcare Representative,9396,No,4,Divorced,No,52.5,MEDIUM RISK
32,Male,Sales,Sales Executive,10400,No,14,Married,Yes,51.0,MEDIUM RISK
30,Male,Research & Development,Manufacturing Director,8474,No,11,Single,No,51.5,MEDIUM RISK
27,Female,Sales,Sales Executive,9981,No,7,Single,No,49.5,MEDIUM RISK
51,Male,Research & Development,Research Director,12490,No,10,Married,No,48.0,MEDIUM RISK
30,Female,Research & Development,Research Scientist,2657,Yes,5,Single,Yes,56.5,MEDIUM RISK
41,Female,Sales,Manager,13591,Yes,1,Single,No,51.5,MEDIUM RISK
30,Female,Sales,Sales Executive,6696,No,6,Single,Yes,57.0,MEDIUM RISK
29,Male,Research & Development,Research Scientist,2058,No,6,Single,Yes,50.0,MEDIUM RISK
45,Female,Sales,Sales Executive,8865,No,19,Single,No,53.0,MEDIUM RISK
54,Female,Sales,Sales Executive,5940,No,6,Married,No,56.0,MEDIUM RISK
36,Male,Research & Development,Laboratory Technician,5914,No,13,Single,No,51.5,MEDIUM RISK
33,Female,Research & Development,Research Scientist,2622,No,3,Married,No,53.0,MEDIUM RISK
37,Male,Research & Development,Research Director,12185,Yes,10,Divorced,No,47.0,MEDIUM RISK
38,Male,Sales,Sales Executive,10609,No,16,Divorced,No,45.0,MEDIUM RISK
31,Male,Research & Development,Manufacturing Director,4345,No,5,Married,No,47.5,MEDIUM RISK
59,Male,Research & Development,Research Scientist,2177,No,1,Married,No,51.0,MEDIUM RISK
37,Male,Sales,Sales Representative,2793,No,9,Divorced,No,50.5,MEDIUM RISK
29,Female,Sales,Sales Executive,7918,No,11,Married,No,52.0,MEDIUM RISK
35,Female,Sales,Sales Executive,8789,No,10,Single,No,51.5,MEDIUM RISK
29,Male,Research & Development,Research Scientist,2389,Yes,4,Single,Yes,48.0,MEDIUM RISK
52,Female,Research & Development,Laboratory Technician,3212,No,2,Single,No,52.5,MEDIUM RISK
42,Male,Research & Development,Manager,19232,No,22,Married,No,50.5,MEDIUM RISK
59,Male,Human Resources,Human Resources,2267,No,2,Married,No,52.5,MEDIUM RISK
50,Female,Sales,Manager,19517,No,7,Divorced,No,51.5,MEDIUM RISK
33,Male,Research & Development,Laboratory Technician,2436,Yes,5,Married,Yes,48.5,MEDIUM RISK
43,Female,Sales,Manager,16064,Yes,17,Married,No,51.5,MEDIUM RISK
33,Female,Research & Development,Laboratory Technician,2707,No,9,Married,Yes,59.0,MEDIUM RISK
52,Male,Sales,Manager,19068,Yes,33,Single,No,51.0,MEDIUM RISK
32,Female,Sales,Sales Representative,3931,No,4,Married,No,51.0,MEDIUM RISK
32,Male,Research & Development,Laboratory Technician,3730,Yes,3,Single,Yes,49.5,MEDIUM RISK
39,Female,Research & Development,Laboratory Technician,2232,No,3,Divorced,No,52.0,MEDIUM RISK
32,Male,Sales,Sales Executive,4465,No,3,Married,No,51.0,MEDIUM RISK
41,Male,Research & Development,Research Scientist,3072,No,1,Divorced,No,58.5,MEDIUM RISK
40,Male,Research & Development,Research Scientist,3319,No,9,Divorced,No,49.0,MEDIUM RISK
45,Male,Research & Development,Manager,19202,No,24,Married,No,48.0,MEDIUM RISK
31,Male,Research & Development,Research Director,13675,No,2,Divorced,No,48.5,MEDIUM RISK
33,Female,Research & Development,Research Scientist,2911,No,2,Married,No,50.0,MEDIUM RISK
34,Male,Research & Development,Manufacturing Director,5957,No,11,Married,No,53.0,MEDIUM RISK
37,Female,Research & Development,Research Scientist,3920,No,3,Married,No,61.5,HIGH RISK
45,Male,Research & Development,Manufacturing Director,6434,No,3,Married,No,49.5,MEDIUM RISK
37,Male,Research & Development,Manufacturing Director,10048,No,1,Divorced,Yes,48.0,MEDIUM RISK
39,Female,Research & Development,Healthcare Representative,10938,No,19,Single,No,50.0,MEDIUM RISK
29,Male,Research & Development,Research Scientist,2340,No,6,Single,No,54.0,MEDIUM RISK
42,Female,Research & Development,Research Scientist,6545,Yes,3,Single,No,57.5,MEDIUM RISK
29,Male,Sales,Sales Executive,6931,No,3,Divorced,No,48.5,MEDIUM RISK
25,Female,Research & Development,Manufacturing Director,4898,No,4,Married,No,47.5,MEDIUM RISK
42,Female,Research & Development,Laboratory Technician,2593,Yes,9,Divorced,No,55.0,MEDIUM RISK
40,Male,Research & Development,Research Director,19436,No,21,Divorced,No,46.0,MEDIUM RISK
51,Male,Research & Development,Research Scientist,2723,No,1,Married,No,53.5,MEDIUM RISK
31,Male,Research & Development,Laboratory Technician,3479,No,5,Single,Yes,49.5,MEDIUM RISK
32,Male,Research & Development,Laboratory Technician,2794,No,5,Married,No,49.5,MEDIUM RISK
38,Male,Sales,Sales Executive,5249,No,8,Married,No,52.0,MEDIUM RISK
32,Male,Research & Development,Laboratory Technician,2176,No,6,Single,No,56.5,MEDIUM RISK
46,Female,Sales,Manager,16872,Yes,7,Married,No,52.0,MEDIUM RISK
28,Male,Research & Development,Laboratory Technician,3485,No,0,Single,Yes,52.0,MEDIUM RISK
29,Male,Sales,Sales Executive,6644,No,0,Married,No,49.5,MEDIUM RISK
31,Male,Research & Development,Healthcare Representative,5582,No,9,Married,No,48.0,MEDIUM RISK
25,Male,Research & Development,Healthcare Representative,4000,No,6,Divorced,No,55.0,MEDIUM RISK
45,Male,Research & Development,Healthcare Representative,13496,Yes,20,Married,No,49.5,MEDIUM RISK
36,Male,Research & Development,Laboratory Technician,3210,No,15,Married,No,47.5,MEDIUM RISK
55,Male,Research & Development,Manager,19045,Yes,36,Single,No,54.5,MEDIUM RISK
47,Male,Research & Development,Manager,11849,Yes,10,Married,Yes,49.5,MEDIUM RISK
28,Male,Research & Development,Research Scientist,2070,No,5,Married,No,47.5,MEDIUM RISK
37,Male,Sales,Sales Executive,6502,No,5,Married,No,47.5,MEDIUM RISK
21,Male,Research & Development,Research Scientist,3230,No,3,Single,No,53.5,MEDIUM RISK
37,Female,Research & Development,Research Director,13603,Yes,5,Divorced,No,51.0,MEDIUM RISK
35,Female,Research & Development,Manager,11996,No,7,Divorced,No,51.0,MEDIUM RISK
38,Female,Sales,Sales Executive,5605,Yes,8,Divorced,No,58.5,MEDIUM RISK
26,Female,Research & Development,Manufacturing Director,6397,No,6,Divorced,No,50.5,MEDIUM RISK
50,Male,Research & Development,Research Director,19144,No,10,Divorced,No,49.0,MEDIUM RISK
53,Male,Research & Development,Research Director,17584,Yes,5,Married,No,47.5,MEDIUM RISK
42,Male,Sales,Sales Executive,4907,No,20,Married,No,51.0,MEDIUM RISK
29,Male,Sales,Sales Executive,4554,No,10,Single,No,50.5,MEDIUM RISK
55,Male,Research & Development,Laboratory Technician,5415,Yes,10,Married,No,48.0,MEDIUM RISK
26,Male,Research & Development,Healthcare Representative,4741,Yes,5,Married,No,54.5,MEDIUM RISK
37,Female,Research & Development,Research Scientist,2115,No,17,Single,No,52.0,MEDIUM RISK
44,Male,Research & Development,Laboratory Technician,3161,Yes,1,Divorced,Yes,55.0,MEDIUM RISK
38,Male,Research & Development,Healthcare Representative,5745,No,2,Divorced,No,48.5,MEDIUM RISK
26,Male,Research & Development,Laboratory Technician,2373,Yes,3,Divorced,Yes,50.5,MEDIUM RISK
28,Female,Research & Development,Research Scientist,3310,No,5,Single,No,49.0,MEDIUM RISK
49,Female,Research & Development,Research Director,18665,Yes,3,Single,No,57.5,MEDIUM RISK
36,Male,Research & Development,Research Scientist,4485,No,8,Single,No,50.5,MEDIUM RISK
31,Female,Sales,Sales Representative,2789,No,2,Divorced,No,50.0,MEDIUM RISK
26,Male,Sales,Sales Executive,5828,Yes,8,Single,Yes,52.5,MEDIUM RISK
37,Male,Research & Development,Research Scientist,2326,Yes,4,Married,No,46.5,MEDIUM RISK
42,Female,Sales,Sales Executive,13525,No,20,Married,No,51.5,MEDIUM RISK
18,Male,Research & Development,Laboratory Technician,1420,No,0,Single,Yes,52.5,MEDIUM RISK
35,Male,Sales,Sales Executive,8020,No,11,Married,No,45.5,MEDIUM RISK
36,Male,Research & Development,Laboratory Technician,3688,No,1,Married,No,49.0,MEDIUM RISK
51,Male,Research & Development,Manufacturing Director,5482,No,4,Divorced,No,49.5,MEDIUM RISK
41,Male,Sales,Manager,16015,No,22,Single,No,48.5,MEDIUM RISK
18,Female,Sales,Sales Representative,1200,No,0,Single,No,56.0,MEDIUM RISK
28,Male,Research & Development,Healthcare Representative,5661,No,8,Single,No,55.5,MEDIUM RISK
31,Male,Sales,Sales Executive,6929,No,8,Married,No,48.5,MEDIUM RISK
39,Male,Research & Development,Healthcare Representative,9613,No,18,Divorced,No,45.5,MEDIUM RISK
36,Female,Research & Development,Laboratory Technician,5674,No,9,Married,No,49.5,MEDIUM RISK
